,_id,access_control,create_time,in_humidity,in_temperature,out_humidity,out_temperature,power_consumption
0,5cef6e4faf95641c52e9ad51,1,2019-05-30 05:46:55,0.66,30.0,0.99,25.0,3574.0
1,5cef6e59af95641c52e9ad52,1,2019-05-30 05:47:05,0.66,30.0,0.99,25.0,3574.0
2,5cef6e63af95641c52e9ad53,1,2019-05-30 05:47:15,0.66,30.0,0.99,25.0,3574.0
3,5cef6e6daf95641c52e9ad54,1,2019-05-30 05:47:25,0.66,30.0,0.99,25.0,3574.0
4,5cef6e77af95641c52e9ad55,1,2019-05-30 05:47:35,0.66,30.0,0.99,25.0,3574.0
5,5cef6e81af95641c52e9ad56,1,2019-05-30 05:47:45,0.66,30.0,0.99,25.0,3574.0
6,5cef6e8baf95641c52e9ad57,1,2019-05-30 05:47:55,0.66,30.0,0.99,25.0,3574.0
7,5cef6e95af95641c52e9ad58,1,2019-05-30 05:48:05,0.66,30.0,0.99,25.0,3574.0
8,5cef6e9faf95641c52e9ad59,1,2019-05-30 05:48:15,0.66,30.0,0.99,25.0,3574.0
9,5cef6ea9af95641c52e9ad5a,1,2019-05-30 05:48:25,0.66,30.0,0.99,25.0,3574.0
10,5cef6eb3af95641c52e9ad5b,1,2019-05-30 05:48:35,0.66,30.0,0.99,25.0,3574.0
11,5cef6ebdaf95641c52e9ad5c,1,2019-05-30 05:48:45,0.66,30.0,0.99,25.0,3574.0
12,5cef6ec7af95641c52e9ad5d,1,2019-05-30 05:48:55,0.66,30.0,0.99,25.0,3574.0
13,5cef6ed1af95641c52e9ad5e,1,2019-05-30 05:49:05,0.66,30.0,0.99,25.0,3574.0
14,5cef6edbaf95641c52e9ad5f,1,2019-05-30 05:49:15,0.66,30.0,0.99,25.0,3574.0
15,5cef6ee5af95641c52e9ad60,1,2019-05-30 05:49:25,0.66,30.0,0.99,25.0,3574.0
16,5cef6eefaf95641c52e9ad61,1,2019-05-30 05:49:35,0.66,30.0,0.99,25.0,3574.0
17,5cef6ef9af95641c52e9ad62,1,2019-05-30 05:49:45,0.66,30.0,0.99,25.0,3574.0
18,5cef6f03af95641c52e9ad63,1,2019-05-30 05:49:55,0.66,30.0,0.99,25.0,3574.0
19,5cef6f0daf95641c52e9ad64,1,2019-05-30 05:50:05,0.66,30.0,0.99,25.0,3574.0
20,5cef6f17af95641c52e9ad65,1,2019-05-30 05:50:15,0.66,30.0,0.99,25.0,3574.0
21,5cef6f21af95641c52e9ad66,1,2019-05-30 05:50:25,0.66,30.0,0.99,25.0,3574.0
22,5cef6f2baf95641c52e9ad67,1,2019-05-30 05:50:35,0.66,30.0,0.99,25.0,3574.0
23,5cef6f35af95641c52e9ad68,1,2019-05-30 05:50:45,0.66,30.0,0.99,25.0,3574.0
24,5cef6f3faf95641c52e9ad69,1,2019-05-30 05:50:55,0.66,30.0,0.99,25.0,3574.0
25,5cef6f49af95641c52e9ad6a,1,2019-05-30 05:51:05,0.66,30.0,0.99,25.0,3574.0
26,5cef6f53af95641c52e9ad6b,1,2019-05-30 05:51:15,0.66,30.0,0.99,25.0,3574.0
27,5cef6f5daf95641c52e9ad6c,1,2019-05-30 05:51:25,0.66,30.0,0.99,25.0,3574.0
28,5cef6f67af95641c52e9ad6d,1,2019-05-30 05:51:35,0.66,30.0,0.99,25.0,3574.0
29,5cef6f71af95641c52e9ad6e,1,2019-05-30 05:51:45,0.66,30.0,0.99,25.0,3574.0
30,5cef6f7baf95641c52e9ad6f,1,2019-05-30 05:51:55,0.66,30.0,0.99,25.0,3574.0
31,5cef6f85af95641c52e9ad70,1,2019-05-30 05:52:05,0.66,30.0,0.99,25.0,3574.0
32,5cef6f8faf95641c52e9ad71,1,2019-05-30 05:52:15,0.66,30.0,0.99,25.0,3574.0
33,5cef6f99af95641c52e9ad72,1,2019-05-30 05:52:25,0.66,30.0,0.99,25.0,3574.0
34,5cef6fa3af95641c52e9ad73,1,2019-05-30 05:52:35,0.66,30.0,0.99,25.0,3574.0
35,5cef6fadaf95641c52e9ad74,1,2019-05-30 05:52:45,0.66,30.0,0.99,25.0,3574.0
36,5cef6fb7af95641c52e9ad75,1,2019-05-30 05:52:55,0.66,30.0,0.99,25.0,3574.0
37,5cef6fc1af95641c52e9ad76,1,2019-05-30 05:53:05,0.66,30.0,0.99,25.0,3574.0
38,5cef6fcbaf95641c52e9ad77,1,2019-05-30 05:53:15,0.66,30.0,0.99,25.0,3574.0
39,5cef6fd5af95641c52e9ad78,1,2019-05-30 05:53:25,0.66,30.0,0.99,25.0,3574.0
40,5cef6fdfaf95641c52e9ad79,1,2019-05-30 05:53:35,0.66,30.0,0.99,25.0,3574.0
41,5cef6fe9af95641c52e9ad7a,1,2019-05-30 05:53:45,0.66,30.0,0.99,25.0,3574.0
42,5cef6ff3af95641c52e9ad7b,1,2019-05-30 05:53:55,0.66,30.0,0.99,25.0,3574.0
43,5cef6ffdaf95641c52e9ad7c,1,2019-05-30 05:54:05,0.66,30.0,0.99,25.0,3574.0
44,5cef7007af95641c52e9ad7d,1,2019-05-30 05:54:15,0.66,30.0,0.99,25.0,3574.0
45,5cef7011af95641c52e9ad7e,1,2019-05-30 05:54:25,0.66,30.0,0.99,25.0,3574.0
46,5cef701baf95641c52e9ad7f,1,2019-05-30 05:54:35,0.66,30.0,0.99,25.0,3574.0
47,5cef7025af95641c52e9ad80,1,2019-05-30 05:54:45,0.66,30.0,0.99,25.0,3574.0
48,5cef702faf95641c52e9ad81,1,2019-05-30 05:54:55,0.66,30.0,0.99,25.0,3574.0
49,5cef7039af95641c52e9ad82,1,2019-05-30 05:55:05,0.66,30.0,0.99,25.0,3574.0
50,5cef7043af95641c52e9ad83,1,2019-05-30 05:55:15,0.66,30.0,0.99,25.0,3574.0
51,5cef704daf95641c52e9ad84,1,2019-05-30 05:55:25,0.66,30.0,0.99,25.0,3574.0
52,5cef7057af95641c52e9ad85,1,2019-05-30 05:55:35,0.66,30.0,0.99,25.0,3574.0
53,5cef7061af95641c52e9ad86,1,2019-05-30 05:55:45,0.66,30.0,0.99,25.0,3574.0
54,5cef706baf95641c52e9ad87,1,2019-05-30 05:55:55,0.66,30.0,0.99,25.0,3574.0
55,5cef7075af95641c52e9ad88,1,2019-05-30 05:56:05,0.66,30.0,0.99,25.0,3574.0
56,5cef707faf95641c52e9ad89,1,2019-05-30 05:56:15,0.66,30.0,0.99,25.0,3574.0
57,5cef7089af95641c52e9ad8a,1,2019-05-30 05:56:25,0.66,30.0,0.99,25.0,3574.0
58,5cef7093af95641c52e9ad8b,1,2019-05-30 05:56:35,0.66,30.0,0.99,25.0,3574.0
59,5cef709daf95641c52e9ad8c,1,2019-05-30 05:56:45,0.66,30.0,0.99,25.0,3574.0
60,5cef70a7af95641c52e9ad8d,1,2019-05-30 05:56:55,0.66,30.0,0.99,25.0,3574.0
61,5cef70b1af95641c52e9ad8e,1,2019-05-30 05:57:05,0.66,30.0,0.99,25.0,3574.0
62,5cef70bbaf95641c52e9ad8f,1,2019-05-30 05:57:15,0.66,30.0,0.99,25.0,3574.0
63,5cef70c5af95641c52e9ad90,1,2019-05-30 05:57:25,0.66,30.0,0.99,25.0,3574.0
64,5cef70cfaf95641c52e9ad91,1,2019-05-30 05:57:35,0.66,30.0,0.99,25.0,3574.0
65,5cef70d9af95641c52e9ad92,1,2019-05-30 05:57:45,0.66,30.0,0.99,25.0,3574.0
66,5cef70e3af95641c52e9ad93,1,2019-05-30 05:57:55,0.66,30.0,0.99,25.0,3574.0
67,5cef70edaf95641c52e9ad94,1,2019-05-30 05:58:05,0.66,30.0,0.99,25.0,3574.0
68,5cef70f7af95641c52e9ad95,1,2019-05-30 05:58:15,0.66,30.0,0.99,25.0,3574.0
69,5cef7101af95641c52e9ad96,1,2019-05-30 05:58:25,0.66,30.0,0.99,25.0,3574.0
70,5cef710baf95641c52e9ad97,1,2019-05-30 05:58:35,0.66,30.0,0.99,25.0,3574.0
71,5cef7115af95641c52e9ad98,1,2019-05-30 05:58:45,0.66,30.0,0.99,25.0,3574.0
72,5cef711faf95641c52e9ad99,1,2019-05-30 05:58:55,0.66,30.0,0.99,25.0,3574.0
73,5cef7129af95641c52e9ad9a,1,2019-05-30 05:59:05,0.66,30.0,0.99,25.0,3574.0
74,5cef7133af95641c52e9ad9b,1,2019-05-30 05:59:15,0.66,30.0,0.99,25.0,3574.0
75,5cef713daf95641c52e9ad9c,1,2019-05-30 05:59:25,0.66,30.0,0.99,25.0,3574.0
76,5cef7147af95641c52e9ad9d,1,2019-05-30 05:59:35,0.66,30.0,0.99,25.0,3574.0
77,5cef7151af95641c52e9ad9e,1,2019-05-30 05:59:45,0.66,30.0,0.99,25.0,3574.0
78,5cef715baf95641c52e9ad9f,1,2019-05-30 05:59:55,0.66,30.0,0.99,25.0,3574.0
79,5cef7165af95641c52e9ada0,1,2019-05-30 06:00:05,0.66,30.0,0.99,25.0,3574.0
80,5cef716faf95641c52e9ada1,1,2019-05-30 06:00:15,0.66,30.0,0.99,25.0,3574.0
81,5cef7179af95641c52e9ada2,1,2019-05-30 06:00:25,0.66,30.0,0.99,25.0,3574.0
82,5cef7183af95641c52e9ada3,1,2019-05-30 06:00:35,0.66,30.0,0.99,25.0,3574.0
83,5cef718daf95641c52e9ada4,1,2019-05-30 06:00:45,0.66,30.0,0.99,25.0,3574.0
84,5cef7197af95641c52e9ada5,1,2019-05-30 06:00:55,0.66,30.0,0.99,25.0,3574.0
85,5cef71a1af95641c52e9ada6,1,2019-05-30 06:01:05,0.66,30.0,0.99,25.0,3574.0
86,5cef71abaf95641c52e9ada7,1,2019-05-30 06:01:15,0.66,30.0,0.99,25.0,3574.0
87,5cef71b5af95641c52e9ada8,1,2019-05-30 06:01:25,0.66,30.0,0.99,25.0,3574.0
88,5cef71bfaf95641c52e9ada9,1,2019-05-30 06:01:35,0.66,30.0,0.99,25.0,3574.0
89,5cef71c9af95641c52e9adaa,1,2019-05-30 06:01:45,0.66,30.0,0.99,25.0,3574.0
90,5cef71d3af95641c52e9adab,1,2019-05-30 06:01:55,0.66,30.0,0.99,25.0,3574.0
91,5cef71ddaf95641c52e9adac,1,2019-05-30 06:02:05,0.66,30.0,0.99,25.0,3574.0
92,5cef71e7af95641c52e9adad,1,2019-05-30 06:02:15,0.66,30.0,0.99,25.0,3574.0
93,5cef71f1af95641c52e9adae,1,2019-05-30 06:02:25,0.66,30.0,0.99,25.0,3574.0
94,5cef71fbaf95641c52e9adaf,1,2019-05-30 06:02:35,0.66,30.0,0.99,25.0,3574.0
95,5cef7205af95641c52e9adb0,1,2019-05-30 06:02:45,0.66,30.0,0.99,25.0,3574.0
96,5cef720faf95641c52e9adb1,1,2019-05-30 06:02:55,0.66,30.0,0.99,25.0,3574.0
